Name,Category,Population Served,Location,Hours,Contact Information,Eligibility,Details
Ozanam Inn,"Dental & Vision, Free Meals, Housing Services, Medical, STI Services, Shelters","Men, Women","2239 Poydras St.
New Orleans, LA
70119","LSU Clinic Hours: Saturdays 8am-4pm

Dental: LSU Dental School is there Saturday mornings - patients should arrive as early as possible, availability is first come, first served & supplies are limited",(504)532-1184,,
Crescent Care,"Case Management, Dental & Vision, Legal Services, Medical, STI Services, Syringe Access","Domestic/Sexual Violence Survivors, HIV+, Men, Spanish Speaking, Transgender/ Gender Diverse, Women, Youth",1631 Elysian Fields Ave.,"Walk-in rapid HIV testing:
Tuesdays 12-8, Wednesdays 10-5, Thursdays 10-3, and Fridays 10-5 at St. Roch location (1631 Elysian Fields Ave.).

Service in Spanish is available Tuesdays 12-4 pm.

Syringe Access Program: Every Wednesday: 12-4 pm
Every Friday: 12-5 pm","504-821-2601

mailto:info@crescentcare.org

https://www.crescentcare.org/contact/","Legal Services & Case Management for people living with HIV

We offer a https://www.crescentcare.org/sliding-scale?nocache=1 for CrescentCare services to people whose household income is at or below 200% of the federal government’s Poverty GuidelinesYou must provide proof of income to qualify for the sliding discount program.","Primary care/ whole person care, special services for people living with HIV, also provides gender affirming care

Call for appointment "
Women with a Vision,Syringe Access,,2028 Oretha Castle Hayley Blvd.,"Drop-in services 10 a.m. - 5 p.m., Monday - Friday",,,
TRYSTEREO,Syringe Access,,"Meetups:
1. Text 504-535-4766 (don’t call)
2. Tell us what supplies you need, what neighborhood you’re in, and if you can travel by bike, car, or public transit. 
3. A volunteer will get back to you as soon as they are available!

Drop-Ins:
• Mondays: 5:30-7 PM at St. Claude and Caffin at the abandoned Family Dollar store
• Tuesdays: 3-4 PM at Duncan Plaza (Gravier and Loyola), between Library and City Hall
Please text us day-of to confirm that volunteers will be at the drop-in.","Meetups by text only

Drop Ins: 
Mon 5:30-7pm
Tue 3-4pm","Text 504-535-4766 for drop-in hours or to make an appointment

https://trystereo.org/get-supplies",,"Supply kits for safer injection, smoking, and snorting, and condoms, with education about safer drug use and health

Naloxone, the opioid overdose antidote, available for free with opioid overdose prevention and reversal training. 

Wound care kits and trainings available upon request."
Daughters of Charity,"Medical, STI Services","Men, Women, Youth","3201 S. Carrollton Ave.New Orleans, Louisiana 70118
100 Warrington Dr.New Orleans, Louisiana 70112
5630 Read Blvd.New Orleans, Louisiana 70127",Varies by location - see website,https://www.dcfno.org/services,,
St. Thomas Community Care,"Dental & Vision, Medical, STI Services","Families, HIV+, Men, Seniors, Women, Youth","1936 Magazine St.New Orleans, LA 70130

1020 St. Andrew St.New Orleans, LA 70130

2000 Magazine St.New Orleans, LA 70130

3943 St. Bernard Ave.New Orleans, LA 70122

3500 Holiday Dr.New Orleans, LA 70114",M-F 7:30am-4:30pm,"Varies by location:
https://www.stthomaschc.org/locations/",Fees are based on a sliding scale according to your income. Also Accepts Medicaid & Medicare,
New Orleans Mission,"Career Planning, Clothing, Free Meals, Mental Health & SUD, Shelters","Men, Women","1130 Oretha Castle Haley Blvd, NOLA 70113",,"https://www.notion.so(504)523-2116504)523-2116
info@neworleansmission.com",,Breakfast & Lunch Daily; Dinner M-F
Covenant House,"Career Planning, Medical, Mental Health & SUD, Shelters, Social Work","Domestic/Sexual Violence Survivors, Young Mothers, Youth",611 N Rampart St. NOLA 70112,24/7,(504)584-1111,"Youth & young adults age 22 and under ",
Luke’s House,"Dental & Vision, Medical, Mental Health & SUD",Spanish Speaking,"2222 Simon Bolivar Ave. NOLA 70113 ",Office M-F Daytime; Clinic Tu & Th 5-8pm,504-444-7879,"Primarily Spanish-speaking patients, can take some English; rarely, can take Portuguese; all ages; free clinic, no payment - APPT ONLY",
University Medical Center (UMC),Medical,,"2000 Canal St, New Orleans, LA 70112 ",,,,
